Date,"['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD","['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD","['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD","['AAPL', 'GOOG', 'AMZN', 'MSFT']_RSI","['AAPL', 'GOOG', 'AMZN', 'MSFT']_MACD"
2017-03-31,71.553754604765,-0.01599942359007578,50.159687536832834,-0.08976107702513816,74.95083903376337,0.128593366795331,64.76971271764562,0.06501078809404426
2017-04-03,71.66855767781506,-0.02068493341466393,57.08708013231364,-0.043832087592267505,76.6609742261601,0.17311285383502945,59.64604238330256,0.05193431457556841
2017-04-04,74.61972255386542,-0.011880331356633245,53.53914738332078,-0.026146905825956232,80.97309060382142,0.23776076832472798,61.54802421302002,0.04877912683463703
2017-04-05,69.18047306856005,-0.021996441376192166,50.83765180938573,-0.024427512561910433,81.55986266825303,0.27002743078026714,58.732378579997665,0.03161059742649169
2017-04-06,66.6679010722494,-0.03761941051900808,47.92833861205945,-0.03392449031266266,70.97654467822846,0.23677381502158124,60.67001523148638,0.02619361090778416
2017-04-07,64.42797247552716,-0.055196946320667184,45.3847625266909,-0.048860607808574055,68.03773285535065,0.1879074492554046,59.781058217276474,0.015615364899640938
2017-04-10,63.2129631830321,-0.07073136880746667,45.442990163304934,-0.055926653858110964,72.43384369855261,0.18103906891342314,57.07831169424867,-0.0034768077375451067
2017-04-11,53.39058833639763,-0.10429106484409234,44.27275092358809,-0.06213512522280866,68.52730098485304,0.14670698338246846,56.16707982238693,-0.02109844588103138
2017-04-12,54.23581801145663,-0.12183730606452181,45.33826405907965,-0.059875713102678,63.6825868168499,0.09199987575221058,51.719810402740784,-0.048420609824536165
2017-04-13,49.933091557481525,-0.14176793318933495,44.61846447572351,-0.05778483720652676,55.68715899120551,0.009853777298805877,47.21130413384749,-0.08201819640120528
2017-04-17,54.018839820125706,-0.1391754907963556,57.600926692608894,-0.010140557667836468,63.151834553180635,0.006945705136403579,55.176509490935885,-0.0706503469387294
2017-04-18,50.438883853376964,-0.14315745244862887,57.22929908827427,0.019245991335545415,63.82998074707646,0.004284890735426261,53.69467605566356,-0.06747250642757374
