#{"t_start": 1747926801.86434, "env_id": "None"}
r,l,t
0.821019,365,475.230155
0.790448,365,476.667548
0.601056,365,476.887958
0.65816,365,477.112091
0.830376,365,477.309736
0.646078,365,477.514415
0.747425,365,477.715426
0.659907,365,479.410706
0.920908,365,479.618116
0.94299,365,479.828598
0.831784,365,480.01773
0.604228,365,480.219053
0.750876,365,481.817644
0.701394,365,482.071532
0.862062,365,482.260472
0.916874,365,482.46171
0.752202,365,482.665977
0.632382,365,482.868613
0.763837,365,484.628948
0.803149,365,484.824655
0.861428,365,485.033155
0.639012,365,485.229558
0.807697,365,485.420622
0.85681,365,486.824312
0.826803,365,487.088063
0.842581,365,487.290549
0.757074,365,487.479266
0.843063,365,487.681692
0.878777,365,487.901772
0.882016,365,490.151103
0.888856,365,490.587787
0.67827,365,491.00553
0.829436,365,491.446438
0.762358,365,491.878382
0.765525,365,492.307563
0.752328,365,494.870852
0.854865,365,495.291789
0.895627,365,495.728368
0.760168,365,496.164746
0.801502,365,496.593635
1.028026,365,498.981044
0.689137,365,499.19565
0.68681,365,499.41015
0.888089,365,499.616473
0.950206,365,499.817097
0.888173,365,500.006361
0.788912,365,501.376742
0.884692,365,501.600153
0.994362,365,501.789131
0.673515,365,501.998504
0.921398,365,502.193929
0.742356,365,502.398356
0.77236,365,504.932478
0.822867,365,505.368297
0.940523,365,505.792873
0.681912,365,506.23169
0.903424,365,506.689764
0.794151,365,509.02206
0.608944,365,509.226226
1.068953,365,509.41381
1.024789,365,509.605136
0.765977,365,509.786822
0.764842,365,509.962362
1.092684,365,511.382624
0.84788,365,511.602923
0.75492,365,511.788766
0.945056,365,512.002821
0.766702,365,512.194437
0.903721,365,514.321045
0.798094,365,514.744425
0.940689,365,515.173615
0.816518,365,515.597835
1.012054,365,516.015295
0.763849,365,516.437304
0.829372,365,518.494504
0.861827,365,518.708227
0.903199,365,518.913865
0.736691,365,519.113881
0.891579,365,519.319441
0.787414,365,519.510082
0.821513,365,520.9604
1.019543,365,521.177294
0.838382,365,521.381041
0.904339,365,521.58216
0.967801,365,521.771368
0.892793,365,524.229942
